Date,Time,Open,High,Low,Close,Volume
2023.01.05,04:00,1.20628,1.2063,1.20437,1.20487,1149
2023.01.05,04:15,1.20486,1.20561,1.20449,1.20458,850
2023.01.05,04:30,1.20455,1.20513,1.20442,1.20489,1094
2023.01.05,04:45,1.20487,1.20512,1.20452,1.20476,882
2023.01.05,05:00,1.20477,1.20498,1.20455,1.20463,1062
2023.01.05,05:15,1.20464,1.20476,1.20406,1.20431,1088
2023.01.05,05:30,1.20435,1.20488,1.20429,1.20478,788
2023.01.05,05:45,1.20478,1.2049,1.20345,1.20361,641
2023.01.05,06:00,1.20359,1.20408,1.20334,1.20335,697
2023.01.05,06:15,1.20334,1.20359,1.20319,1.20336,689
2023.01.05,06:30,1.20333,1.20367,1.20333,1.20356,753
2023.01.05,06:45,1.20356,1.20398,1.20343,1.20373,721
2023.01.05,07:00,1.20372,1.20388,1.20339,1.2036,1006
2023.01.05,07:15,1.20358,1.20375,1.20328,1.20342,772
2023.01.05,07:30,1.20344,1.20388,1.20301,1.2037,495
2023.01.05,07:45,1.20371,1.20408,1.20343,1.20368,698
2023.01.05,08:00,1.2037,1.20497,1.20365,1.20483,873
2023.01.05,08:15,1.20484,1.20499,1.20363,1.20375,842
2023.01.05,08:30,1.20375,1.20396,1.20364,1.20375,563
2023.01.05,08:45,1.20373,1.20375,1.20229,1.20229,699
2023.01.05,09:00,1.20221,1.20311,1.20205,1.20267,916
2023.01.05,09:15,1.20266,1.20289,1.20219,1.20244,1057
2023.01.05,09:30,1.20245,1.20279,1.20197,1.20207,902
2023.01.05,09:45,1.20201,1.20201,1.19992,1.20069,1509
2023.01.05,10:00,1.2007,1.20155,1.19992,1.20053,1987
2023.01.05,10:15,1.20052,1.20236,1.2003,1.20157,1506
2023.01.05,10:30,1.20157,1.20207,1.20036,1.20066,1735
2023.01.05,10:45,1.20063,1.20268,1.20039,1.20198,1576
2023.01.05,11:00,1.20205,1.20209,1.20089,1.20143,1488
2023.01.05,11:15,1.20143,1.20219,1.20105,1.20187,1529
2023.01.05,11:30,1.2018,1.20331,1.2018,1.20264,1528
2023.01.05,11:45,1.20265,1.203,1.20191,1.20298,1111
2023.01.05,12:00,1.20294,1.20376,1.20239,1.20259,1228
2023.01.05,12:15,1.20257,1.20281,1.20204,1.20219,1266
2023.01.05,12:30,1.2022,1.20335,1.20187,1.20309,1176
2023.01.05,12:45,1.20308,1.20337,1.20231,1.20251,1178
2023.01.05,13:00,1.20252,1.20284,1.2021,1.20239,1119
2023.01.05,13:15,1.20234,1.20246,1.20124,1.20137,806
2023.01.05,13:30,1.20137,1.20218,1.20115,1.2016,1073
2023.01.05,13:45,1.20164,1.20245,1.20162,1.20219,897
2023.01.05,14:00,1.20221,1.20251,1.20142,1.20239,972
2023.01.05,14:15,1.20239,1.2035,1.2023,1.20261,1090
2023.01.05,14:30,1.20263,1.2029,1.20186,1.20219,1213
2023.01.05,14:45,1.2022,1.2022,1.19989,1.20011,1635
2023.01.05,15:00,1.20013,1.20134,1.20012,1.20036,1941
2023.01.05,15:15,1.20045,1.20092,1.19634,1.19688,3672
2023.01.05,15:30,1.19694,1.19694,1.19226,1.19308,3733
2023.01.05,15:45,1.19308,1.19393,1.19167,1.19193,3268
2023.01.05,16:00,1.19192,1.1925,1.19109,1.19248,3336
2023.01.05,16:15,1.19244,1.19276,1.19119,1.1915,3018
2023.01.05,16:30,1.1915,1.1922,1.19065,1.19152,3856
2023.01.05,16:45,1.19147,1.19197,1.19026,1.19067,3385
2023.01.05,17:00,1.19069,1.19271,1.18892,1.19131,4443
